id,author_id,like_count,quote_count,reply_count,retweet_count,text
1391582759915687938,1250410590377394176,0,0,0,0,Gr gr mimpiin mantan crush jdi gamon gue ya Allah
1391582759756263425,35206472,0,0,0,0,wkwkwk apaansi lawak
1391582758728732676,265262679,0,0,0,0,Cuti2 pun standby depan pc 😅 sebab office tak cuti lagi
1391582758204411907,1266326341730721793,0,0,0,0,Alhamdulillah meskipun hanya numpang lewat
1391582758028283904,1367157182295203841,0,0,1,0,"konsep teaser pernikahan pake lagu day6 - only, sounds good ga siiih 😭"
1391582757986312193,1151405834234023936,0,0,0,0,Comeback tida niih~
1391582757571096576,1366545728697376771,0,0,0,0,sender sc ku pada aneh😫
1391582757516562433,1307903346473197568,0,0,0,0,"anjrit 1,7😭"
1391582757462056961,1187370223130894336,0,0,0,0,"bismillah leberan 2021 dapat pertanyaannya sedikit, dapat THR nya banyak 😇"
1391582757193609216,1196761431862992896,0,0,0,0,azannya kok msih lama
1391582756337946624,1391193652861366279,1,0,0,0,Harus berbuat apa ya🤔🤔
1391582756228919297,1254576198488748032,1,0,0,0,"pengen foya-foya belanja makanan ringan buat lebaran tapi duit sisa 2jt, buat daftar mandiri😭"
1391582755838861315,1270245876812754944,0,0,0,0,suka bersyukur ga sii kalo abis ngejauhin satu cowo trs ga lama kemudian dia update dah dpt cewe baru WKWK mungkin dia ngerasa ganteng tp aku malah ilfeel bgt kea “hah lo cpt bgt pindah hati jir untung aja gw sama lo”🤮🤮
1391582755746566144,1320195879031033856,0,0,0,0,"kesal ,"
1391582755163619334,2516817894,1,0,0,1,HARU BB
1391582754446352385,1049840284530438145,0,0,0,0,jyp really said rip
1391582753548771330,1003396514264150016,0,0,0,0,Pengen bgt liat perform btob mix Blowin up sama Bull's eye🥺🥺
1391582752063954944,1281823196073742336,1,0,1,3,"nctzen wayzenni ayo mutualan! bantu rt/like ya, tysm"
1391582751820697601,1355373557803413506,0,0,0,0,Rasanya ingin sambat Mulu...😖
1391582751531233285,2647101170,0,0,0,0,Terharu bgttt😭😭😭.Thankyou Jesus
1391582750994538497,1374450069093576710,0,0,0,0,chata.
1391582750818193409,1366012861168816130,0,0,0,0,Adek gue sepertinya sudah muak dengerin gue muter sunlit smile
1391582750759522311,1378703961067192322,0,0,0,0,Motor again haha
1391582750751170560,326784331,0,0,0,0,Harap2 ketegaq abg aku ni x keturun ke anak 🤦🏻‍♀️
1391582750721732613,1377054237440442368,0,0,0,0,untung bukan poster album 😭😭😭😭
1391582750050762753,1337409475888738304,0,0,1,0,bae joohyun volta pra mimmm
1391582749576757249,3181046136,0,0,0,0,Ciye mo cb juni
1391582748196806657,1041356790988890112,0,0,0,0,pagi ini gw wangi banget dah:'.wangi minyak telon sama bedak bayi ya Allah dinda😳
1391582748045758464,160905465,0,0,0,0,ini orang kenapa sih pada blg parcel hampers itu bla bla bla. kalau di kasi mau ga yah dia?
1391582747664158720,196268521,0,0,0,0,Pembersihan TL............................................................................................................................................................................................................................4
1391582747576131584,3413417807,0,0,0,0,Ta mt frio slcc
1391582746636525568,1268861782321270784,2,0,2,5,"Sebelum mv hot sauce nct dream keluar, yuk kita mutualan esp nctzen wayzenni !!! 🔥🌶 bantu rt &amp; like nya yaa besties"
1391582745801854976,236777180,0,0,0,0,akan selalu ada tai nya.jd bukan yg indah indah aja
1391582745373990914,1366570990113677314,0,0,0,0,pingin deh libur kerja 1 hari abistu ajak doi jalan jalan jauh 🤤
1391582745009090560,1333938936536731650,0,0,1,0,ni-ki kenapa? gua baru buka twt
1391582744887521282,406122217,0,0,0,0,Hari Senin ini berkali-kali-lipat magernya dari hari Senin biasanya. Buset dah
1391582744820387840,1252278344978071552,0,0,0,0,Kamu candu yang membuatku ragu.
1391582744669417472,1325050544885436422,0,0,0,0,Skrng 1 tiket bbl brpa si? Kok aku mau langganan tpi keluar tulisan pulsaku ga ckp pdhal pulsa ku 70rb
1391582744044392449,1365442985240846338,0,0,0,0,ada yang co shpe 5.5 barangnya belom nyampe ampe sekarang ?
1391582743721619457,1233563170867830784,0,0,0,0,YOK YOK SEMANGAT YO 2 HARI KERJA LAGI.
1391582743457275907,175059225,0,0,0,0,Kemas timeeeee 🥴
1391582743331446785,1120260760129507328,0,0,0,0,"gue kan beli baju harga 200 ya, terus belum pernah dipake pergi pergi gitu (cuman di cobain pas awal dateng abistu disimpen), dan ternyata kegedean, alhasil gue jual lagi kan ya, nah itu gue jual 150, emang masih kemahalan apa dengan kondisi begitu :("
1391582743113342984,1124671810602061824,0,0,0,0,semalem pake koyo malah makin cape
1391582742626791424,1391164822935375872,1,0,0,0,Gua yang ga sekolah sekolah.Suruh bayar spp anjim.Buat tes uang siapa brother:)😌.#sekolah .#ujian .#kapansekolah
1391582742618411009,1391573528101605377,0,0,0,0,#doodh .Kesa laga
1391582742467416064,1227603918,0,0,0,0,"WNA China boleh masuk suka2 karena katanya ""sesuai prokes"" yg mudik dihadang2 meski mereka punya hasil swab  negatif tanpa alasan yg kuat mereka ga lolos mudik ...sadar ga sih pemerintah udah nyakitin hati rakyat nya ?"
1391582742203092992,1211095228326633472,0,0,0,0,"Lain kali duduk hostel, tahula sikit orang duk discuss apa, ni tak"
1391582741838192643,1303333509570818048,0,0,0,0,alhamdulillah bgt cb nya abis lebaran
1391582741758550026,1254808612691574784,1,0,0,0,"Kata kata tidak penting lebih baik tindakan?,, Enak ga dia pergi ga ngomong apa"""
1391582740890357762,540625251,0,0,0,0,09.35 WIB #Tol_JORR_E TMII - Cikunir - Cakung - Rorotan LANCAR. ; Rorotan - Cakung - Cikunir - TMII LANCAR.
1391582740865159168,486428698,0,0,0,0,benci bgt bulet”in selai nanas
1391582740651208704,986486629215846400,0,0,0,0,Comelnya mak excited dgn meja makan baru dia 😂
1391582740466659334,833816234990841856,0,0,0,0,punyetaaaaaa 🙂
1391582740458266625,233083182,0,0,0,0,"Nenek ngan tok ayah settle first dose dah, lega sikit"
1391582740101820423,1387249441724190725,0,0,1,0,"jaemin, aku udah siapin banyak akun youtube buat streaming. ada satu akun lagi niatnya mau buat youtube premium"
1391582740005285888,1087020725964140545,0,0,0,0,Repot kali kau ngurusi idup aku
1391582739816542210,1117064027174084609,0,0,0,0,tau tau pas diumumin di vlive 2 juta SKKSKSKSKS AAMIINNNN
1391582739233599489,1326314594957062145,0,0,0,0,ngos ngosan anjrit
1391582739216752642,240560963,0,0,0,0,"Brengsyek! Gue mo berangkat kerja ini loh, yg tadinya iklas ngasihnya malah jadi kesel !!"
