ID_USER,USERNAME,ID_TWEET,TWEET_TEXT
1268677783418540037,PatDura74139748,1400804594855387137,"   No. The election was certified at every level -- county, state, and f… "
1260671281818595328,mark71110630,1400804595106914314, loser just like your dad
451589302,stonecoldken,1400804595161391110,  It looks like liberals and conservatives finally agree on something. Neither wants Mike Pence to run in the  Presiden…
1369712038461796355,HabenGedenana,1400804596533108742,. claims the election has been postponed due to logistic &amp; low voter registration numbers. The absence… 
2560368501,stuindy,1400804598009536517,  I get that  felt the need to balance  #Covid briefing with  pro-viru…
1371862312936640514,reese62687564,1400804598214848515,The fact that Fauci is personally connected to Bill Gates is very frightening; but add Mark Zuckerberg to this trif… 
780170682831437824,cking4977,1400804599490134017,"  When the origin of a deadly virus is suppressed by the gov't, mainstream media, scientists &amp; public health officials--for gaw…"
140576310,Magnieboy,1400804603185205250,"  Wife and I talking this morning and it struck us afresh, the enormity of it: the PLP actively worked to lose us a General…"
3394652472,SankhoTirkey,1400804603906592770,  People will remember about priorities of This govt at the time of COVIDElection rallies and now privatisation #निजीकर…
1205171812470067204,manzoor_palijo,1400804604154040322,"  ""A fair distribution of water benefits not one province but the whole of Pakistan, because when India does injustice to…"
1276199870450282498,Michael73312708,1400804604938526723, LOL - The only thing your father ever got right was the tremendous fear of having a son with the Jr… 
334808710,LanceMrLakeway,1400804607962529800, His career was in the dumpster when the Selfish One pulled him out. Pence was part of the real ele… 
1290731013660913677,SamanthaSchil15,1400804608977641474,"  Minneapolis, it’s so important that we remember that everyone is up for re-election in November."
1202110206,79jmichael,1400804610701414402,   It's nice that people brag about being a Patriot now that way sane people know… 
1329052792305168391,lion_politics,1400804611146006530,Could Republicans get over % of the Latino vote in the  presidential election?!
35748406,jdrodrigues,1400804611175305218,  True story: MAGA golfer walks up to me at the club today.B: I heard you told the guys you won’t play golf with me coz you…
1358213802261680129,Santosh43629419,1400804613872402437," When you’re that desperate! A fake A$$ executive, living off daddy’s $, a coke addict, wants to raise… "
705867977766219776,LGSoderlund1,1400804615436783618,"  HR isn't some long shot. It's a win we've got in the bag, unless we go out of our way to blow it by spewing toxic harmfu…"
2977303609,MullStacy,1400804616275644416,"  National Review writer backs up claims that Trump pressing conservatives to say election was ""stolen"" "
1197695413840760832,QrashOverride,1400804617953419274,"  NEW - Facebook to stop exempting politicians special status protecting them from ""fact-checking,"" just in time for the US m…"
880544814772756480,prisoniscoming,1400804618133819392,  True story: MAGA golfer walks up to me at the club today.B: I heard you told the guys you won’t play golf with me coz you…
3687793153,duhasswipe,1400804619043753994,  We have known for quite some time that #TrumpIsNotWell. But most  legislators are not delusional. Their promotion of the #…
2202724536,NAMAMaxime,1400804620117712906,"  “This doesn’t end in anything that looks like politics,”  on Republicans pushing the false claim that fmr. Pres. Trump wo…"
17877490,yoavkaufman,1400804620558012416,  “Herzog’s election marks a historic moment for Jews around the world”- shared our North America CEO  in an op-…
422670466,ArmandoSeoane,1400804621375787018,"  #inflation - #Oil Prices Stay Near $ Up % Since #Biden's ""Election.""Oil Prices Impact The Supply Chain - It Represen…"
3407440673,CoolidgeBCoolin,1400804622353190920,  JUST IN : GOP chairman David Shafer called for full forensic election audit in Georgia.
2776789167,DJViles,1400804624731344901,"  Ed Miliband on Brexit: ""...we had a referendum, we had a general election, it was decisive..."" Oh Ed!! Both were the most corru…"
1352592356076363777,factsma21119979,1400804629479317504,"  WHEN Fauci gets hauled in front of Congress, he needs to be asked - under oath - when he knew that the Pfizer vaccine…"
1102917721661034497,BarkeyDon,1400804632809648131, Delusional psychopath who is deserving of conviction of his crimes and incarceration ! He lost the… 
1290431648224419840,MSKJBOnt,1400804633593909253,  Less than a year until the election. Can we compile a list of at least  reasons for why  should be voted o…
1246176398294896642,sibtainsulphuri,1400804635858849803, Don't try to stand with person who can't even win his own polling station. If ticket were given to this… 
16479235,jon_wnc,1400804641835786247,  It’s just incredible to hear Joe Manchin &amp; Kyrsten Sinema say voting rights legislation needs bipartisan supermajority in Se…
929787898261659648,stephsweb,1400804642502549504,"  Imagine living in a country in which the leader obtained power because of a hostile actor’s help, and, when they lost th…"
822997544854847488,trustedjesus,1400804643849056256,"Tell that to the AZ Patriots on the audit floor, that are registered Democrats because for them it IS bipartisan!"
1111947619,caloehr,1400804644771741704,  Spending taxpayers dollars should be enough for these republicans to end this fucking nonsense… 
1251986387433189377,EKostiuk25,1400804646965284876,  I am a loyal Patriot!!! #Twitter has not let me follow anyone since before the election.I have never been suspended.…
1032133506573291520,ankeshdass,1400804647275692038,  You are just manipulating..one time delay was okay..our exams are postponed for third time… 
26528766,kyleraccio,1400804648517259267,"  .⁦ gets the headline RIGHT for once!The FREIGHT TRAIN of audits is coming across the country and the Democrats, lib…"
1250113506440966145,mary07306228,1400804649116917762,  Also ….. avoid sending more money to an orange loser conman  
820847157276246016,joinhere7,1400804649121107974,"  New Clip! ""lil dick loser CEI""  "
